date,percentile.no2,percentile.pm10,percentile.pm2.5,X,BH.photo,BH.met,ceilmoter.signal,ceilometer.signal.giulio,kidson.type,wd,ws,t,blh.12,percent.point,pm10.pn,pm2.5.pn,no2.pn,no2.qs,nox.qs,sp,dry,bh.1,hinv,oinv,year,kidson.group
2/07/15,>75th,>90th,>90th,309,0,NOBH,NA,,T,W,8.9,14.6,774,NA,32,22,38.3,NA,NA,UP,DRY,NA,NA,NA,2015,through
3/07/15,<75th,<75th,<75th,310,0,NOBH,NA,,SW,W,5.8,16.1,1471,NA,15,11,15.5,NA,NA,UP,,NA,NA,NA,2015,through
5/07/15,<75th,<75th,<75th,312,0,NOBH,NA,,SW,W,11.2,14,1291,NA,11,8,9.1,NA,NA,SP2,DRY,NA,NA,NA,2015,through
6/07/15,<75th,>75th,<75th,313,0,NOBH,NA,,SW,NE,2,16.4,613,NA,19,13,23.2,NA,NA,UP,,NA,NA,NA,2015,through
7/07/15,<75th,<75th,<75th,314,0,NOBH,NA,,SW,E,5.3,16,769,NA,18,13,25.3,NA,NA,UP,,NA,NA,NA,2015,through
8/07/15,<75th,<75th,<75th,315,0,NOBH,NA,,HW,E,8.8,10.6,618,NA,10,7,29.8,NA,NA,UP,,NA,NA,NA,2015,blocking
9/07/15,>75th,<75th,<75th,316,0,NOBH,NA,,HW,E,8.7,9.6,NA,NA,7,4,32.4,NA,NA,UP,,NA,NA,NA,2015,blocking
10/07/15,>75th,<75th,<75th,317,0,NOBH,NA,,H,NE,9,9.7,NA,NA,11,6,38.4,NA,NA,UP,,NA,NA,NA,2015,zonal
11/07/15,>75th,<75th,<75th,318,0,NOBH,NA,,W,NE,9.5,10.4,NA,NA,15,11,32.7,NA,NA,SP1,,NA,NA,NA,2015,zonal
12/07/15,<75th,>95th,>95th,319,2,BH,0,,T,NE,3.6,9.7,NA,NA,39,35,29.2,NA,NA,SP1,DRY,NA,NA,NA,2015,through
13/07/15,<75th,>75th,>90th,320,2,BH,0,,SW,NW,3,11.6,1437,NA,23,19,27.3,NA,NA,SP1,DRY,NA,NA,NA,2015,through
17/07/15,>90th,>90th,>90th,324,0,NOBH,NA,,SW,S,2.7,15,1237,NA,29,23,40.2,NA,NA,UP,,NA,NA,NA,2015,through
18/07/15,<75th,>75th,>75th,325,0,NOBH,NA,,HW,S,2.2,11.6,800,NA,20,15,9.3,NA,NA,UP,,NA,NA,NA,2015,blocking
21/07/15,>75th,<75th,<75th,328,0,NOBH,NA,,W,SW,10.4,13.8,1091,NA,16,10,34.7,NA,NA,UP,,NA,NA,NA,2015,zonal
24/07/15,>95th,>75th,>75th,331,0,NOBH,NA,,T,SW,1.9,12.4,774,NA,24,18,41.8,NA,NA,UP,DRY,NA,NA,NA,2015,through
26/07/15,<75th,<75th,<75th,333,0,NOBH,NA,,SW,W,1.5,14.6,1432,NA,14,10,3.3,NA,NA,UP,,NA,NA,NA,2015,through
28/07/15,<75th,<75th,<75th,335,0,NOBH,NA,,HW,W,1.6,16.1,NA,NA,17,12,26.6,NA,NA,UP,,NA,NA,NA,2015,blocking
29/07/15,<75th,<75th,<75th,336,0,NOBH,NA,,HW,N,3.9,13.6,1256,NA,12,9,25.2,NA,NA,UP,,NA,NA,NA,2015,blocking
30/07/15,>95th,>90th,>90th,337,0,NOBH,NA,,H,NW,4.1,12,1534,NA,27,19,43.7,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
31/07/15,>90th,>75th,>75th,338,0,NOBH,NA,,W,NW,2.1,13.8,579,NA,22,16,41,NA,NA,SP2,DRY,NA,NA,NA,2015,zonal
2/08/15,<75th,<75th,<75th,340,0,NOBH,NA,,HE,N,5.5,14.4,725,NA,17,12,25.5,NA,NA,UP,,NA,NA,NA,2015,blocking
3/08/15,<75th,<75th,<75th,341,0,NOBH,NA,,W,NW,2.7,17.2,979,NA,13,9,25.4,NA,NA,UP,,NA,NA,NA,2015,zonal
7/08/15,<75th,<75th,<75th,345,0,NOBH,NA,,T,W,5.3,12.7,550,NA,13,9,26.3,NA,NA,UP,,NA,NA,NA,2015,through
8/08/15,<75th,<75th,<75th,346,0,NOBH,NA,,SW,SW,10.9,13.5,1378,NA,15,11,24.3,NA,NA,UP,,NA,NA,NA,2015,through
11/08/15,<75th,<75th,<75th,349,0,NOBH,NA,,HE,NW,5.1,9.9,984,NA,5,4,29.2,NA,NA,SP1,,NA,NA,NA,2015,blocking
12/08/15,>90th,>75th,>75th,350,0,NOBH,NA,,HE,W,7.5,12.1,988,NA,21,16,40.3,NA,NA,UP,,NA,NA,NA,2015,blocking
13/08/15,<75th,<75th,>75th,351,2,BH,0,,W,W,9,14.2,1461,NA,18,14,25.7,NA,NA,UP,DRY,NA,NA,NA,2015,zonal
14/08/15,<75th,<75th,<75th,352,0,NOBH,NA,,W,W,12,12.5,389,NA,18,13,13.8,NA,NA,UP,,NA,NA,NA,2015,zonal
15/08/15,<75th,<75th,<75th,353,0,NOBH,NA,,TNW,SW,10.2,13.6,380,NA,11,8,24,NA,NA,UP,,NA,NA,NA,2015,through
16/08/15,<75th,<75th,<75th,354,0,NOBH,NA,,T,SW,6.8,14.2,813,NA,9,6,20.6,NA,NA,UP,,NA,NA,NA,2015,through
17/08/15,<75th,<75th,<75th,355,0,NOBH,NA,,T,SW,2.6,13.7,911,NA,12,8,23,NA,NA,SP1,,NA,NA,NA,2015,through
18/08/15,<75th,<75th,<75th,356,0,NOBH,NA,,SW,W,1.5,14.2,818,NA,15,10,14,NA,NA,UP,,NA,NA,NA,2015,through
22/08/15,<75th,<75th,<75th,360,0,NOBH,NA,,HE,S,3.1,13.8,847,NA,15,11,19.5,NA,NA,SP1,DRY,NA,NA,NA,2015,blocking
23/08/15,<75th,<75th,<75th,361,0,NOBH,NA,,W,SW,6.5,16,NA,NA,14,10,14.7,NA,NA,UP,,NA,NA,NA,2015,zonal
25/08/15,<75th,<75th,<75th,363,0,NOBH,NA,,TNW,SW,1.6,14.1,1000,NA,10,7,14.6,NA,NA,UP,,NA,NA,NA,2015,through
26/08/15,>75th,<75th,<75th,364,0,NOBH,NA,,T,NE,3.4,14.6,1091,NA,11,6,32.5,NA,NA,UP,DRY,NA,NA,NA,2015,through
27/08/15,<75th,>75th,>75th,365,0,NOBH,NA,,T,NE,5.3,15.3,1052,NA,24,16,30.6,NA,NA,SP2,DRY,NA,NA,NA,2015,through
30/08/15,<75th,<75th,<75th,368,0,NOBH,NA,,NE,E,6,15.6,443,NA,10,7,15.1,NA,NA,UP,,NA,NA,NA,2015,blocking
