'date','station','tair','twet','rh','tdew'
'2012-08-24 12:00:00',22719,15.2,'''"11.3"''','''"59"''','''"7.3"'''
'2012-08-25 12:00:00',22719,15,'''"11.1"''','''"59"''','''"7.1"'''
'2012-08-26 12:00:00',22719,15.2,'''"11.4"''','''"60"''','''"7.5"'''
'2012-08-27 12:00:00',22719,17.1,'''"14.2"''','''"71"''','''"11.8"'''
'2012-08-28 12:00:00',22719,15.1,'''"11.5"''','''"62"''','''"7.9"'''
'2012-08-29 12:00:00',22719,15.2,'''"11.2"''','''"58"''','''"7"'''
'2012-08-30 12:00:00',22719,12.5,'''"9.5"''','''"65"''','''"6.1"'''
'2012-08-31 12:00:00',22719,16.6,'''"11.6"''','''"51"''','''"6.5"'''
'2012-09-01 12:00:00',22719,13.6,'''"9.1"''','''"51"''','''"3.7"'''
'2012-09-02 12:00:00',22719,14.7,'''"10.7"''','''"58"''','''"6.5"'''
'2012-09-03 12:00:00',22719,12.7,'''"12.2"''','''"94"''','''"11.8"'''
'2012-09-04 12:00:00',22719,14.3,'''"11.4"''','''"68"''','''"8.5"'''
'2012-09-05 12:00:00',22719,14.3,'''"11.3"''','''"67"''','''"8.3"'''
'2012-09-06 12:00:00',22719,16.4,'''"13.8"''','''"73"''','''"11.6"'''
'2012-09-07 12:00:00',22719,16.1,'''"12.6"''','''"64"''','''"9.3"'''
'2012-09-08 12:00:00',22719,17.1,'''"12.8"''','''"58"''','''"8.8"'''
'2012-09-09 12:00:00',22719,16.5,'''"13"''','''"65"''','''"9.9"'''
'2012-09-10 12:00:00',22719,14.4,'''"11.9"''','''"73"''','''"9.6"'''
'2012-09-11 12:00:00',22719,15.6,'''"12"''','''"63"''','''"8.6"'''
'2012-09-12 12:00:00',22719,10.9,'''"6.7"''','''"49"''','''"0.6"'''
'2012-09-13 12:00:00',22719,12.6,'''"7.7"''','''"45"''','''"1"'''
'2012-09-14 12:00:00',22719,14.8,'''"10"''','''"50"''','''"4.5"'''
'2012-09-15 12:00:00',22719,13.4,'''"10.9"''','''"72"''','''"8.5"'''
'2012-09-16 12:00:00',22719,13.3,'''"11.9"''','''"84"''','''"10.7"'''
'2012-09-17 12:00:00',22719,15,'''"13"''','''"78"''','''"11.2"'''
'2012-09-18 12:00:00',22719,14.5,'''"10.4"''','''"56"''','''"5.9"'''
'2012-09-19 12:00:00',22719,13.1,'''"10.5"''','''"70"''','''"7.8"'''
'2012-09-20 12:00:00',22719,15,'''"11.1"''','''"59"''','''"7.1"'''
'2012-09-21 12:00:00',22719,14.4,'''"10.6"''','''"59"''','''"6.5"'''
'2012-09-22 12:00:00',22719,14.3,'''"9.3"''','''"47"''','''"3.2"'''
'2012-09-23 12:00:00',22719,13.6,'''"10.9"''','''"70"''','''"8.3"'''
'2012-09-24 12:00:00',22719,14.4,'''"10.5"''','''"58"''','''"6.3"'''
'2012-09-25 12:00:00',22719,15.6,'''"11.2"''','''"55"''','''"6.6"'''
'2012-09-26 12:00:00',22719,15.7,'''"12.6"''','''"68"''','''"9.8"'''
'2012-09-27 12:00:00',22719,15.4,'''"12.1"''','''"66"''','''"9.1"'''
'2012-09-28 12:00:00',22719,15.8,'''"13.2"''','''"73"''','''"11"'''
'2012-09-29 12:00:00',22719,18,'''"-"''','''"-"''','''"-"'''
'2012-09-30 12:00:00',22719,17.1,'''"-"''','''"-"''','''"-"'''
'2012-10-01 12:00:00',22719,15.6,'''"-"''','''"-"''','''"-"'''
'2012-10-02 12:00:00',22719,14.8,'''"-"''','''"-"''','''"-"'''
'2012-10-03 12:00:00',22719,15.3,'''"-"''','''"-"''','''"-"'''
'2012-10-04 12:00:00',22719,14.7,'''"11.5"''','''"66"''','''"8.4"'''
'2012-10-05 12:00:00',22719,15.4,'''"12.4"''','''"68"''','''"9.6"'''
'2012-10-06 12:00:00',22719,15.1,'''"14.3"''','''"91"''','''"13.6"'''
'2012-10-07 12:00:00',22719,14.4,'''"13.1"''','''"85"''','''"11.9"'''
'2012-10-08 12:00:00',22719,16,'''"15.4"''','''"93"''','''"14.9"'''
'2012-10-09 12:00:00',22719,18.4,'''"13.6"''','''"55"''','''"9.2"'''
'2012-10-10 12:00:00',22719,17.6,'''"14"''','''"65"''','''"11"'''
'2012-10-11 12:00:00',22719,17.5,'''"14.1"''','''"67"''','''"11.3"'''
'2012-10-12 12:00:00',22719,18.7,'''"14.3"''','''"59"''','''"10.5"'''
'2012-10-13 12:00:00',22719,15.2,'''"13.9"''','''"86"''','''"12.9"'''
'2012-10-14 12:00:00',22719,14.6,'''"11.8"''','''"70"''','''"9.2"'''
'2012-10-15 12:00:00',22719,14.6,'''"11.7"''','''"69"''','''"9"'''
'2012-10-16 12:00:00',22719,15.3,'''"11.8"''','''"63"''','''"8.3"'''
'2012-10-17 12:00:00',22719,18.9,'''"14.8"''','''"62"''','''"11.5"'''
'2012-10-18 12:00:00',22719,16.9,'''"13.4"''','''"65"''','''"10.3"'''
'2012-10-19 12:00:00',22719,14.4,'''"11.1"''','''"64"''','''"7.7"'''
'2012-10-20 12:00:00',22719,16.1,'''"12.1"''','''"60"''','''"8.4"'''
'2012-10-21 12:00:00',22719,15.9,'''"15.3"''','''"93"''','''"14.8"'''
'2012-10-22 12:00:00',22719,18.4,'''"15"''','''"68"''','''"12.4"'''
'2012-10-23 12:00:00',22719,11.8,'''"10.3"''','''"82"''','''"8.8"'''
'2012-10-24 12:00:00',22719,16.6,'''"9.4"''','''"32"''','''"-0.1"'''
'2012-10-25 12:00:00',22719,15.7,'''"11.6"''','''"58"''','''"7.5"'''
'2012-10-26 12:00:00',22719,18.4,'''"15"''','''"68"''','''"12.4"'''
'2012-10-27 12:00:00',22719,19.4,'''"15.1"''','''"61"''','''"11.7"'''
'2012-10-28 12:00:00',22719,18.2,'''"14.9"''','''"68"''','''"12.2"'''
'2012-10-29 12:00:00',22719,14.8,'''"14.4"''','''"95"''','''"14"'''
'2012-10-30 12:00:00',22719,20.1,'''"16.3"''','''"66"''','''"13.6"'''
'2012-10-31 12:00:00',22719,16.8,'''"14.1"''','''"73"''','''"11.9"'''
'2012-11-01 12:00:00',22719,18.5,'''"15"''','''"67"''','''"12.3"'''
'2012-11-02 12:00:00',22719,19.1,'''"14.9"''','''"61"''','''"11.4"'''
'2012-11-03 12:00:00',22719,17.5,'''"16.2"''','''"87"''','''"15.3"'''
